date,Sales,Price Discount (%),In-Store Promo,Catalogue Promo,Store End Promo,Product_SKU1,Product_SKU2,Product_SKU3,Product_SKU4,Product_SKU5,Product_SKU6
2019-05-19,6838,0.28,0,0,0,0,1,0,0,0,0
2019-05-26,2598,0.0,0,1,0,0,1,0,0,0,0
2019-06-02,6743,0.25,0,0,0,0,1,0,0,0,0
2019-06-09,2423,0.0,0,0,0,0,1,0,0,0,0
2019-06-16,2779,0.0,0,1,0,0,1,0,0,0,0
2019-06-23,37065,0.5,1,0,0,0,1,0,0,0,0
2019-06-30,5908,0.28,0,0,0,0,1,0,0,0,0
2019-07-07,2349,0.0,0,0,0,0,1,0,0,0,0
2019-07-14,2569,0.0,1,0,0,0,1,0,0,0,0
2019-07-21,7718,0.25,0,0,0,0,1,0,0,0,0
2019-07-28,2867,0.0,1,0,0,0,1,0,0,0,0
2019-08-04,8486,0.25,0,0,0,0,1,0,0,0,0
2019-08-11,3004,0.0,1,0,1,0,1,0,0,0,0
2019-08-18,9897,0.25,0,0,0,0,1,0,0,0,0
2019-08-25,2580,0.0,0,0,0,0,1,0,0,0,0
2019-09-01,2743,0.0,1,0,0,0,1,0,0,0,0
2019-09-08,7933,0.25,1,0,0,0,1,0,0,0,0
2019-09-15,2748,0.03,1,0,0,0,1,0,0,0,0
2019-09-22,7533,0.25,1,0,0,0,1,0,0,0,0
2019-09-29,6829,0.25,1,0,0,0,1,0,0,0,0
2019-10-06,2461,0.0,0,1,1,0,1,0,0,0,0
2019-10-13,40111,0.5,1,0,0,0,1,0,0,0,0
2019-10-20,7766,0.25,1,0,0,0,1,0,0,0,0
2019-10-27,7209,0.25,0,0,0,0,1,0,0,0,0
2019-11-03,2585,0.0,0,0,0,0,1,0,0,0,0
2019-11-10,2907,0.0,0,0,0,0,1,0,0,0,0
2019-11-17,3026,0.0,0,1,1,0,1,0,0,0,0
2019-11-24,39870,0.5,1,0,0,0,1,0,0,0,0
2019-12-01,7690,0.25,1,0,0,0,1,0,0,0,0
2019-12-08,7215,0.25,0,0,0,0,1,0,0,0,0
2019-12-15,2339,0.03,0,0,0,0,1,0,0,0,0
2019-12-22,2178,0.0,0,0,0,0,1,0,0,0,0
